Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
13347,4,"Great little place! Ordered the pastor tacos and the chicken empanadas. I loved the tacos and the fact that they put pineapples in the taco, which really enhanced the flavor of the pastor. I thought the empanadas were okay, I probably wouldn't get them again. The service was good and you do have to find street parking",18-07-18 2:02,Las Cazuelas Restaurant BYOB,"Food, Tacos, Mexican, Latin American, Restaurants, Spanish",Philadelphia,PA,4,338,Positive
13348,3,"I came to Jacksons on a Friday afternoon for brunch and enjoyed a good meal with friends. The inside of the restaurant was completely full so we had to sit outside in the tented patio. I wasn't dressed warmly enough and wish they had better heaters in that area so we could have relaxed and enjoy our food a little more.

Our waitress was very friendly and had a good knowledge of their beer list and recommended a great fall brew for me. All of the girls at our table got different entrees and we enjoyed tasting off of each others plates. I got the corned beer hash with a side of grits - though I ended up being too full to finish the grits. My only complaint about my meal was that the corned beer hash only came with one egg and it definitely needed two. I ended up mixing the onions, peppers, and meat into my grits so it wasn't so dry. 

Overall we enjoyed our experience but I would sit inside next time! And don't forget to get there early, it fills up fast.",13-11-14 20:20,Jackson's Bar & Bistro - Nashville,"Burgers, Bars, Restaurants, Nightlife, American (New), Breakfast & Brunch, Lounges",Nashville,TN,3,402,Neutral
13349,5,"By far the best sushi place in the area, in quality and value. Try the ""caterpillar roll"" it's amazing. Everything I have had here has been great.",03-01-17 17:50,Kawa Japanese Cuisine,"Sushi Bars, Restaurants, Ramen, Steakhouses, Japanese, Noodles",Springfield,PA,4.5,145,Positive
13350,5,"Stopped in for lunch today. It was 2 and they close at 2:30 for lunch. We ordered a couple of waters and ordered off of the lunch menu. I ordered my standard chicken panang curry thai hot and a soup and salad all for $8. He ordered the Pad Plik pork thai hot with soup and salad and a spring roll for $9. The salad was in a small bowl and had a nice ginger soy dressing. The chicken soup was a great broth with ties of chicken and soft white rice. The panang was a soupy mix of chicken, carrots, green beans, pea pods, peppers and thai basil with a nice jasmine rice to soak of the deliciousness. The Plik pork was a soupy mix of Jalapeno peppers, red bell pepper, onions, and minced garlic with jasmine rice to soak up the yumminess. 

Service was great and prices were fair. We had enough for left overs so it made it really affordable. They do take Amex which a lot of places choose not to. 

The 'burn' of the thai hot was a different one than other places in the area. It was a slower burn vs a bam in your face knock your socks off as soon as you take a bite burn. I like it either way. 

http://littlethaicafe.com/menu-2/",28-06-17 23:12,Little Thai Cafe,"Thai, Restaurants",Tarpon Springs,FL,4,66,Positive
13351,5,"Love this place! The atmosphere is very laid back, and the lavender vanilla latte was delicious! Perfect place to study or relax with a book.",03-09-18 14:03,The Neidhammer Coffee Co.,"Real Estate, Venues & Event Spaces, Food, Home Services, Coffee & Tea, Sandwiches, Event Planning & Services, Restaurants, Breakfast & Brunch, Specialty Food, Creperies, Shared Office Spaces, Wedding Planning",Indianapolis,IN,4.5,156,Positive
13352,5,This is our go to place after Sunday afternoon concert at Principia by Town & Country symphony because there are so many good choices on the menu which you cannot go wrong and the staff is so friendly and helpful,04-09-18 11:50,Circle 7 Ranch,"Restaurants, Tapas/Small Plates, Wraps, American (New), Burgers",St. Louis,MO,4,236,Positive
13353,5,"Great service, yummy lattes, very good espresso and almond milk! Didn't have any food but the drinks were great and the atmosphere is cozy and cool. This is your place for an Irish coffee or some other boozy caffeinated bev too!",29-12-13 13:44,Cafe Envie & Espresso Bar,"Breakfast & Brunch, Tapas Bars, Bagels, Restaurants, Food, Coffee & Tea",New Orleans,LA,4,447,Positive
13354,1,"Finally getting around to finishing this review...  This summarizes our visit on the night of Gasparilla.  

This was, without a doubt, the absolute the worst service ever. After waiting in line for 30 minutes to be seated, we sat for 30 MORE minutes w no waitress visit. Once we actually did get served and placed our order, the food never came.  When I walked up to the counter to check on the food.... the order was never put in. We were told to wait for 10 minutes   15 minutes later was told it was 5 more minutes. Once the food arrived, it was VERY good... but we had to take it home and eat it because it was past the children's bed times at that point.  Mind you, people who arrived after we were seated got their food, ate, and left before we even saw a slice of our order.  Nice.

Recently I read a story that Cappy's has pretty much barred kids from the joint, citing misbehavior.  Well, given that on my one and only visit to the place the incredibly horrid service required my children to wait in excess of an hour and fifteen minutes to GET a pizza, this won't be an issue for me (although for once in their lives they were actually behaving despite the excessive wait).  

While I am all for the supporting of local businesses (especially in the Seminole Heights area) and definitely see the appeal of a place like Cappy's (it is pretty cool inside, and had a nice vibe), my experience coupled with the anti-kids stuff I read pretty much sealed the deal for me.  I won't be going back, with or without kids.  Stephannos is right up the road, and they make a great pie without the drama.",15-08-12 13:41,Cappy's Pizzeria- Seminole Heights,"Restaurants, Food, Pizza",Tampa,FL,3.5,221,Negative
13355,3,"Funky bar/restaurant in Fountain Square.  Interesting decor based on Mexican wrestling theme. Mixed crowd of young folks, townies, and regulars.  Not quite sure if primary function is to be a bar or restaurant. The menu is limited with appetizers, tacos, and burgers. We ordered chicken and pork tacos. The pork was excellent...sweet but with a kick.  The chicken was kind of dry but there was a variety of sauces to jazz them up.  What was impressive was the whiskeys and draft craft brews offered, I had a Green Flas West Coast IPA draft....in Indiana. Well done! 
A fun place for a casual dinner but would like to see some more food variety.
Almost forgot to mention there's a Tiki Bar in the back (will check it out on the return trip).",24-02-14 4:13,Revolucion,"Bars, Tiki Bars, Restaurants, Nightlife, Mexican",Indianapolis,IN,3.5,456,Neutral
13356,5,"My coworker steered me into a cab to go to this hole in the wall on Ritner.  There's no way I'd brave the narrow, car-lined streets to drive here either so you're already in about $18 for a cab ride if you're not a native and stay at a hotel near the airport.  The hoagies (wasn't really clear on what a hoagie was either before my visit here) are so over the top good that you may want to base your hotel choice on its proximity to this place so you're not subjected to hotel restaurant mediocrity and spend every last penny of your food budget on the good stuff.  Cacia's Bakery next door will seal that decision if you visit both shops like we did.  This is the first Primo and the friendly staff are obviously proud of that.  Locals flock here and really the sandwiches will sell themselves to anyone who goes here once.  The bread is soft but hearty enough to take the fixings.  I got a Bada Bing which was so tasty I almost cried I hadn't thought to buy the full sized one as I ate it on the plane home.  Despite frantic Yelp searches I haven't found a single shop in the greater Seattle area that can touch this franchise.",30-08-15 19:41,PrimoHoagies,"Delis, Restaurants, Italian, Local Flavor, Sandwiches",Philadelphia,PA,4,43,Positive
13357,4,"My favorite food truck in Drexel area!!! The line may be long and makes you freeze in this weather, but the food is totally worth it!!! I had the cap n crunch tilapia burrito, short rib and chicken satay tacos, and they were all good. The chicken katsu here is just ok, nothing very special, and the consistency of this mayb off sometimes (my first order, the rice was very soft and mushy, and the second time it was kinda dry). So i just come here mainly for the tacos and burritos, and they never disappointed!",16-02-15 19:31,Cucina Zapata,"Thai, Food Stands, Restaurants, Mexican",Philadelphia,PA,4.5,248,Positive
13358,5,"My wife and I were looking for an evening dessert place within walking distance from downtown - but not requiring a Friday night adventure onto Bourbon Street (9:30ish). Yelp! led is to this place - they are very accommodating (one rockstar lady ""doing it all"" in the front of the house) and we swung in for great bread pudding, pecan pie, and peach cobbler! 

Breakfast looks good enough to hit in the morning!",28-06-14 2:44,Café at The Square,"Restaurants, American (Traditional)",New Orleans,LA,4,293,Positive
13359,5,"Love it when we stumble upon a place like this!  We are not familiar with the area and were just looking for a place to have bkfst.  Yelped it and Sabrina's was #1 on the list.  Loved how they repurposed the Old Woolworths , the aesthetic is so cool!!  We arrived at a perfect time as there was no wait.  The hosts and servers were all super friendly and attentive.  The menu is awesome!  Food so freakin delish!  We were refilled on coffee and water and never had to wait to ask for anything.
 Service was on point!  If you're in the area, this is def a must try!",19-05-18 14:17,Sabrina's Café,"American (Traditional), Restaurants, Cafes, Comfort Food, Vegetarian, Breakfast & Brunch, American (New)",Collingswood,NJ,4,570,Positive
13360,5,"Checked this place out as soon as I landed in Nashville! There was a bit of a line going out of the door but it went by fairly quickly, I'd say 15-20 minutes. Once we were seated the service was pretty quick and friendly. I ordered hot chocolate with marshmallows to drink and it was so delicious, best hot chocolate I've had in awhile! I also ordered the chocolate chip pancakes with a side of potatoes and was very pleased. Great food and service!",19-12-16 8:55,The Pancake Pantry,"Restaurants, Sandwiches, Food, Breakfast & Brunch, Bakeries",Nashville,TN,4,2063,Positive
13361,5,"Celebrated a birthday for my daughter @ J Gilbert's this evening. They always do a great job and tonight was above expectations. Joseph, our server, was exceptional. My Tomahawk Ribeye was perfectly prepared and everyone's dinners were great. The 50% off wine special was an added treat. 

Highly recommended for special occasions or simply those times when you want a good dining experience.",02-10-17 2:09,J Gilbert's Wood-Fired Steaks & Seafood St Louis,"Steakhouses, American (New), Restaurants, Seafood",Des Peres,MO,4,268,Positive
13362,5,"Very good. Inexpensive and flavorful. Must try if in Chinatown. 

Must have:
Appetizers - Homemade Roti Canai (Indian Pancake) - Crêpe like with chicken curry dipping sauce. Amazing!
Entree - Thai basil noodle",30-08-15 18:42,Penang,"Malaysian, Asian Fusion, Cambodian, Chinese, Restaurants, Thai",Philadelphia,PA,3.5,1112,Positive
13363,2,"First, food was good in this busy BUSY place, but service was not what it should have been for the prices...  Once the food FINALLY got to the table it was pretty good, but I had shrimp & grits and it would have really helped if someone had cleaned the edges of the bowl... 
Again, the place was packed, but my guess is that our server was just not up to the task.",30-09-16 22:45,Mr. B's Bistro,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",New Orleans,LA,4,2064,Negative
13364,2,"I was in town on business and feeling on the edge of a cold and I was really looking forward to a healthy salad, but unfortunately I didn't have the best experience. I ordered the Chopped Med Salad and there was so much oily dressing that it leaked through the take out bag and puddled at the bottom. The menu also indicated it had greens, but in fact it was on a bed of iceberg, which I find a bit shocking for a vegetarian restaurant. Where is the nutrition value in that? The only plus was getting a free (tasty) lemonade because I checked in on FourSquare. Overall I found it bland, boring and uninspired for a veggie place.",04-12-12 23:02,HipCityVeg,"Burgers, Vegetarian, Restaurants, Vegan",Philadelphia,PA,4,1082,Negative
13365,2,"I ate the eggs provencale (their signature dish); it was ok. I don't believe that I'm a fan of thyme on eggs. However, the baguette was tasty. I may come back to try something else.",22-11-10 16:21,Ghini's French Caffe,"Restaurants, Food, Breakfast & Brunch, Sandwiches, French, Bakeries, Salad",Tucson,AZ,3.5,427,Negative
13366,4,"Hole in the wall, but awesome! Fresh food (homemade guac, shells, etc.). Tasty shrimp tacos.",16-07-12 16:06,Taqueria Pico De Gallo,"Mexican, Restaurants",Tucson,AZ,4,397,Positive
13367,1,"Not a fan. Sorry. I'm clearly in the minority here. I had the Chicken Platter, which ended up being a flattened, breaded, fried chicken cutlet. The sauce drizzled on top was syrupy and sweet but not in a good way. All I could taste was grease and sweet. Again, I am obviously in the minority with my opinion, so maybe my taste buds are just broken, but I was not impressed.",02-04-15 0:52,Cucina Zapata,"Thai, Food Stands, Restaurants, Mexican",Philadelphia,PA,4.5,248,Negative
13368,4,Comfortable place to spend the night. Staff is nice and crowd was great as well. They make a mean captain & Coke & Juke box is always poppin good tunes ! Deff would recommend this bar if you just want to relax and have a nice night !,21-12-15 9:48,Murph's Bar,"Italian, Dive Bars, Sports Bars, Nightlife, Irish Pub, Restaurants, Bars, Pubs",Philadelphia,PA,4,315,Positive
13369,5,"I lived across the street from the Block during the summer and I went there 3 times within the span of 2 months. It was definitely one of my favorite restaurants in St. Louis. It was so good! Their meat is very high quality and they butcher the meat themselves, so it is as fresh as it can get!

The first time I came, I got the pork chop, which came with gnocchi, veggies, and mushrooms in a cream sauce. I have never had such a juicy pork chop in my life until I had this one. It was nicely seasoned and really tender. I thought that the cream sauce might have been overpowering at first, but it actually went really well with the pork chop. The gnocchi was also made it house and upon eating it, I just felt like I was floating on a potato cloud in heaven. All of my favorite things in one dish: beef, potatoes and mushrooms. 

This place is on the pricier end, but definitely worth it. My friends thought that it was a one time treat yourself to a nicer dinner so we each got our own desserts too. I am drooling as I am reminiscing about that vanilla bean creme brulee. The use real vanilla beans, no extract; you can even see the little specks in the creme brulee. It was the perfect sweetness and I had no problem eating the whole thing by myself. 

Little did I know that I would be coming back here two more times...

I was contemplating between the steak and pork chop last time, so I decided to try the steak this time. It was a really hard decision, knowing that the pork chop is amazing. The butcher's cut for the day was the hanger steak, and it was heavenly. It was so juicy and full of flavor. It came with a bed of fries, and their fries are good too!

The last time I came, I got the halibut with bacon, corn and rock shrimp risotto. I was super drawn in to the risotto but it was a little disappointing. The halibut was nicely seared and not overcooked. The presentation was extremely aesthetic, especially with the two different colored sauces. I know bacon is naturally high in salt, but boy, this bacon was just on a whole other level, and I feel like it overpowered the other flavors in the risotto. However, this was my least favorite of the dishes I've tried. It was average but not spectacular like their other dishes. 

I definitely recommend coming to try the Block if you're in the CWE! Highly recommend their pork chop and steak!!",12-11-16 5:59,The Block,"Bars, American (New), Nightlife, Restaurants, Pubs",Saint Louis,MO,4,155,Positive
13370,4,"I really wanted to try gooey butter cake, a St. Louis tradition! I started at Clayton's across the street, but they only sell whole cakes, not cake by the slice. Who does that nowadays in the age of modernity??? I then went to this place across the street, and thank you fellow Yelpers for not failing me!

I bought a slice of cake to go ($2.44 including tax), and WOW. The cake was a subtle sweet, light, and airy. Although covered in powdered sugar, the sugar was not overpowering at all and just right. The cake, true to its name, was a bit crunchy on the outside (but not so hard you'll break your teeth) and gooey in the middle. The crunchy topping was an added texture bonus. What an absolute delight!

Inside, the restaurant was clean, warm, and inviting. The smell of freshly baked breads will slam into your face like a pie throwing contest, and it's a wonderful feeling. I will definitely return!",03-05-17 2:13,The Daily Bread Bakery & Cafe,"Bakeries, Food, Restaurants, Cafes",St. Louis,MO,4,114,Positive
13371,1,"I'm from Hawaii and so I know what sushi should look and taste like in a conveyor belt because we have a lot of those in Hawaii.  Conveyor belt sushi are considered ""fast sushi"" and items like kappa maki or miso soup are only $1.50 and NOT $3 like Yo sushi.  I will even post a photo of what a $3.50 hamachi nigiri should look like.  They charge $2.75 for green tea when it should complimentary on a conveyor belt ""fast food"" sushi.  I got some ebi, ahi, hamachi and salmon nigiri and as you can see from the photo, the size of the fish is tiny for $5.  Worst is that husband got sushi from the belt and he said it taste as if that's been sitting there for more than 2 hours.  Note, sushi is only good for 2 hours in room temperature or else that is bad already. Conveyor belt sushi chef in Hawaii keep track of what they put and we see them dispose of the things they know have been sitting out for a while.  The most horrible part was the $7 hamachi carpaccio wannabe they had and it was not either hamachi or it was very old hamachi.  The texture and taste was more mackerel ""saba"" (a much cheaper sushi fish than hamachi).  Never going back there and the bill was $50 which in Hawaii that would have fed 4 people with a full stomach at Genki or Sushi Bay or Kurukuru and at Yo Sushi, we had to buy a pretzels to get rid of the bad hamachi taste and to satisfy our stomach. This place has terrible sushi and a big rip off.",13-11-16 3:19,YO! Sushi,"Sushi Bars, Fast Food, Japanese, Restaurants",Tampa,FL,4,121,Negative
13372,1,"I showed up late to night market around 9:20 after just getting out of work incredibly tired and hungry. After seeing the lines for tacos and sandwiches (the only trucks that were serving real food) I turned around walked south towards home and got a sandwich at FUEL. 
Living in this neighborhood I was surprised to see so many people walking around taking pictures so excited to eat from a food truck. Food Trust will have to step it up a notch and next go-around I will show up excited to taste rather than expectant to get a meal.",11-10-10 14:34,Night Market,"Food Stands, Restaurants, Local Flavor",Philadelphia,PA,3,66,Negative
13373,4,"After returning from France I was absolutely dying for a decent croissant. Lucky for me La Patisserie Chouquette came to the rescue! All of the pastries we tried were delicious. The croissant and the pain au chocolat we both super high quality real french style treats. You simply can't find that quality in mot bakeries. Granted the cost was quite high making this a special occasion treat instead of the every day event it was in France. But overall, I highly recommend this place for really quality pastries.",26-06-13 0:23,La Patisserie Chouquette,"Cafes, Food, Bakeries, Restaurants",Saint Louis,MO,4,229,Positive
13374,5,"I would say that as a whole, this is the best Pho restaurant in Nashville. The pricing is great(even though it's cash only), the pho is great portions, they have Thai tea with tapioca pearls! This is crucial because no other places in Nashville offer pho + Bubble tea. The pho is very good. It is not the best pho you will ever eaten(depending on if you have had west coast pho). But it is a Nashville 9/10. Great location and quick service as well!",02-05-17 3:42,Kien Giang,"Vietnamese, Restaurants",Nashville,TN,3.5,326,Positive
13375,4,"Best tacos I've had in a long time! This will now be my go to taco place when I'm craving Mexican food. The prices can't be beat and whether you get the seasoned beef, chicken, or steak tacos they are all the same price. My wife got the burrito and it was huge and was presented very well! We will definitely be back and I've even told some friends that we will need to go!",19-12-17 14:02,Indy Tacos,"Restaurants, Food, Mexican, American (New)",Indianapolis,IN,4,276,Positive
13376,4,The food at Qdoba is always great. The staff at this location was also great. I got the bowl with chicken. It is just the right amount of food at the right price. The decor in this location is modern and has a nice rustic feel. I will definitely come back to this location again.,26-07-18 18:41,QDOBA Mexican Eats,"Fast Food, Caterers, Restaurants, Event Planning & Services, Mexican",Collinsville,IL,3,19,Positive
13377,5,"Quick service, good coffee! 

They actually have coffee/lates on tap (like in a keg on nitro), and let me try a sample.  Delicious.  Atmosphere is great.  All in all a very cool coffee place!",06-11-15 16:05,La Colombe Coffee,"Restaurants, Food, Coffee & Tea",Philadelphia,PA,4,614,Positive
13378,5,Amazing food! Super flavorful with every bite. Definitely coming back here! Highly recommend the platter and butter naan!,17-02-15 0:26,Gateway To India,"Food, Imported Food, Specialty Food, Indian, Restaurants, Ethnic Food, Buffets",St. Petersburg,FL,4,393,Positive
13379,4,"I like a bar with some kitschy theme. This place gets at least 2 stars for taking provincial surroundings (wooden tables, candelabras with real candles/wax) and pairs it with the boilermaker - beer with a side of whiskey (to be sipped with your beer and not shot). I also like a boilermaker so this place was like a little sliver of heaven for me.

It was hot in here but it seems everywhere this summer is all kinds of hot so I really can't complain. The drinks were fairly priced and the service was just fine. I didn't try the food because nothing on the menu really appealed to me. That's the only major drawback I saw.

I am sold on the boilermaker idea - it's what scores this place that extra star that makes it more than ""A-OK.""",16-07-12 16:39,The Boilermaker,"Bars, Food, American (New), Restaurants, Nightlife, Beer, Wine & Spirits",Philadelphia,PA,4,35,Positive
13380,2,"Inconsistent location. I find this location has its good days and it's horrible days. On this trip, I didn't get any ice in any of my beverages and special orders / requests are completely ignored. 

I will say that the employee delivered everything with a smile. It was just all wrong.",19-01-15 14:22,Wendy's,"Restaurants, Burgers, Fast Food",Trevose,PA,1.5,17,Negative
13381,5,"Aaaaah man Landry's seafood House was awesome.  Me and my fiancé sat upstairs by the window and had a nice view of the water.  Our server Nathan was great and very attentive as well.  The bartender made amazing drinks and the food was on point!  We had the crab cake, oysters and a shrimp poy boy.  Everything was made exceptionally well! Definitely a must visit when in NAWLINS!",24-08-18 21:23,Landry's Seafood House,"Restaurants, Cajun/Creole, Seafood",New Orleans,LA,3.5,279,Positive
13382,5,"Great food and relaxed atmosphere! I can tell this is a locals favorite & boy was I glad we went! We ordered the Muffalato sandwich, chicken gyro, & tuna salad with potato salad. All were delicious!!",02-04-15 20:35,Mena's Palace,"Restaurants, Southern, Cajun/Creole, Seafood, Breakfast & Brunch",New Orleans,LA,4,337,Positive
13383,4,"Went tonight with a group of about 6 people for happy hour. We were very happy to hear that Tuesday is in fact Boozeday, which means happy hour specials until 11! Half price drafts, $5 whiskey cocktails (not as good of it sounds), and $5 snacks (not a great deal either). On their drinks menu, they have a section call ""whiskey cocktails,"" but these are not $5 (they range from 9-12), it's only a specific happy hour whiskey lemonade cocktail that is $5. Our party found this to be a very misleading promotion, but the server did explain this clearly when we asked. Also, all of the snacks are already listed at $5-7, so there's not much of a discount there. The good draft beer selection, which are already reasonably priced is clearly the best deal. 

The cocktails were generally well made and tasty. They ranges from $7-13, which is a generally fair price for drinks that often contain higher end ingredients like fruit juices, Luxardo Maraschino, Bulleit Rye, etc. I ordered a Hemingway, their take on the classic Hemingway daquiri, which had rum, grapefruit, lime, simple, and Maraschino liqueur was a bit bland and watery. The classic Hemingway has a double shot of rum--not that I necessarily expected this, but wanted a strong, sour, aggressive drink was what I expected for a drink named after the rugged Hemingway. The other cocktails our table ordered: old fashioned, Manhattan variant (with Pimms), and bourbon sour (with frothed egg white) where well made. Friends that ordered beer where very happy with the selection. 

Food was well priced, large portion sizes and generally at least above average in quality. We ordered and loved the fried pickles. The coating was substantial but not doughy and crisp without being greasy. The honey mustard was just sweet enough to balance the acidity of the pickle. For an entree I ordered the fried chicken. He chicken was brought to the table while still very hot and had a nicely crisp coating that almost shattered on contact but still hung on to skin. The meat was well salted, but I would have like some more spices like black pepper, chili pepper, paprika, garlic powder etc. The chicken came with Mac and cheese served in a large ramekin that was easy twice as much as I expected! The sauce was very creamy and the topping of melted cheese and crisp bacon crumbles was very tasty. My friends enjoy the burger (hell of a deal at $5), the Cobb salad, pulled pork sandwich, and seitan cheesesteak. However, the fries were disappointing limp and greasy. 

I thought the decor was understated, classic  bar decor (dark wood everywhere, quirky taxidermy) but also easily forgettable. I did like how they kept the original tile around the fireplace past the bar that spelled out ""LIBERTIES,"" a nice nod to the bar that use to be B&B. Tables were nicely separated and chairs/booths were comfortable. 

Overall, I think the prices are more than competitive for most food and drink. Service was laidback and easygoing without being complacent. Food came out hot and tasty, drinks cold and refreshing. I just had some minor complaints about the food and drinks but overall had a very good experience. Not worth making long trip from West Philly just tot come here, but it would be a great local bar to hang out at, especially on Tuesday for the Boozeday happy hour",10-09-14 5:46,Bourbon & Branch,"Bars, American (Traditional), Breakfast & Brunch, Music Venues, Arts & Entertainment, Nightlife, Restaurants",Philadelphia,PA,4,392,Positive
13384,5,They have updated the dinner menu to include some tacos and other items! It makes me happy. La Mulita is only getting better!,07-05-14 17:41,La Mulita,"Mexican, Burgers, Latin American, Restaurants, Caribbean",Indianapolis,IN,4,136,Positive
13385,4,"After my first Burning Man excursion, I had a strange craving for pho, and headed to my favorite place in town.  I love the spring rolls, smoothies and beef pho.  The business is nestled into a strip mall, the clientele is unique and there's little ambience, but the pho and prices make up for it.",04-08-13 23:45,Viet Pho,"Restaurants, Vietnamese",Reno,NV,3,87,Positive
13386,5,"I've been seeing a few of the seafood boil pictures from The Mad Crab over the last few weeks on Yelp. On Monday evening I got to have a rare just the two of us dinner with my Father and since we are both always looking for the newest thing I mentioned The Mad Crab and we headed to U. City. It's a large place (formerly Kim Son) and it's decorated with a nautical theme. When the hostess seats you they cover your table in white butcher paper. We went for the largest combo, The Hangry Combo ($76.99.) We chose King Crab Legs, Shrimp, Mussels, and clams. They boil this with corn on the cob, red potatoes, and sausage. For flavoring we chose the Whole Sha-Bang (mild.) We got a side order of garlic bread to dip in the sauce/boil. They give you a plastic bib, plastic gloves, a seafood cracker, and a seafood sheller and dump the bag of boiled seafood onto the paper covered table for you to figure out. It was so great! We cracked the crab legs, scooped out the clams and mussels, and peeled the shrimp. It was savory and spicy even with the mild seasoning and I like spice. Loved the sausage and potatoes too! The spice and boil made a kind of broth/sauce and it was delicious dipping the garlic bread in it. Next time I'll try the French fries for dipping purposes. This was way too much food for two people and we lugged home a hefty to-go box but we have big eyes and wanted to try EVERYTHING! I can't wait to go back. The service isn't the best and they don't have a liquor license yet but who cares? Believe me when I tell you there is absolutely nothing else like this in St. Louis or anywhere close! Get here immediately before the critics get in here and start writing it up and it gets too busy!",16-08-17 18:29,The Mad Crab,"Seafood, Cajun/Creole, American (New), Restaurants",University City,MO,3.5,156,Positive
13387,3,"Ordered the Chicken Ranchero Panini and the Chicken Cheesesteak Wrap. Both were good, especially for delivery food.",19-01-15 1:14,The Spot,"Breakfast & Brunch, Pizza, Greek, Restaurants, Food",Philadelphia,PA,3,80,Neutral
13388,4,"Love this location.  Food, location and service ideal.  Would prefer if the would move away from picnic tables on outside patio...difficult for older crowd.  Sure wish Florida would ban smoking at all eating establishments - outside as well as in. Will not give a 5 star to any establishment that does allow smoking on the property.",18-03-16 13:16,Sam's Beach Bar,"Seafood, American (Traditional), Music Venues, Caribbean, Arts & Entertainment, Nightlife, Restaurants",Hudson,FL,3.5,555,Positive
13389,5,"Good price and very tasty! I called ahead to order for pickup. The restaurant is just a few minutes down the road from me so that's another bonus. I saw all the good reviews and rating so I had to give it a try. I got there right before a rush and was waiting for my food and talking to Memo, who works there. He's very friendly. I was glad I got there when I did because four more customers came in! Memo was very nice and helped them with the menu and gave suggestions. I got home and chowed down on two steak tacos and a buffalo chicken taco. Totally delicious! Try this place, you'll love it.",08-08-17 2:17,Xtreme Tacos,"Mexican, Tacos, Food, Restaurants, Food Trucks, Tex-Mex",Tampa,FL,4.5,193,Positive
13390,4,"I'll definitely go back.  This is a breakfast and brunch place that is right out of someone's pinterest board. It's a tad hipstery but very charming. Chalk board wall, faux fireplace, cute/quirky touches everywhere. The food was very good and the chef himself came out to ask how everything was. It was busy the morning we went but we sat on the patio so there was no wait.  The staff was friendly and the food arrived quickly.",06-03-15 0:51,Prep & Pastry,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",Tucson,AZ,4.5,2126,Positive
13391,2,"If you want to people-watch, dance, and not have to talk to your friends/date- come here on a weekend around 11pm. 

Seriously! You can watch old rich guys making out with young tan blondes, and dance the night away on a tiny crowded dance floor. Oh and you can spend 10 minutes trying to get a bartenders attention for a drink or to validate your valet parking ticket. 

The shame is that the reviews on this place are going to differ drastically depending on what time and day you come. It might be wonderful on a weeknight (although will still have overpriced martinis). But on a weekend, after 10pm- the live music starts... it gets so loud you can hear it blasting in the lobby. Not just ""hearing"" it in the lobby. Blasting into the lobby. Don't expect to have a conversation in there. You can try, but unless you're an expert at reading lips you'll have a problem.",15-03-10 18:35,Eau Cafe,"Restaurants, Nightlife, American (New)",Saint Louis,MO,3,50,Negative
13392,5,"Best place to get breakfast in Tampa. We go every Sunday, staff are friendly, and know their regulars.",18-01-15 17:21,The Three Coins Diner,"American (Traditional), Restaurants",Tampa,FL,4,341,Positive
13393,3,Only had the fried chicken but it was hot and fresh. Young man working the driv ebb thru was very nice and polite.,04-08-16 17:45,Goldy's Chick - n - Mex,"Restaurants, Fast Food, Mexican, Chicken Shop",Wood River,IL,3,10,Neutral
13394,4,"Mmmm... shrimp and grits. Not light, but DELICIOUS!!! This was my second visit for this dish and it was equally wonderful the second time. Our waitress Karen was delightful and efficient. It was good to be reminded of what good service is like.",04-03-17 16:45,Trip's Diner,"Salad, Restaurants, Breakfast & Brunch, Diners, Burgers",Seminole,FL,4,223,Positive
13395,5,"Its a spacious, clean cafe on Bourbon Street so ideal spot for lunch. 5 stars because the service is friendly and attentive, the oysters are big and relatively inexpensive, and there's a variety of other menu items for those avoiding oysters. Its actually a surprisingly good spot for fish-eating pseudo vegetarians like me.",31-03-12 14:43,Desire Oyster Bar,"Southern, Event Planning & Services, Restaurants, Cajun/Creole, Seafood, Live/Raw Food, Hotels & Travel, Hotels",New Orleans,LA,4,1084,Positive
13396,2,"This hotel is HUGE.  This place is by no means a luxury hotel, but the prices for their restaurants and rooms are outrageously expensive as if they are one.  Very poor layout causes one to easily get lost.  Workers here are friendly.",19-03-15 13:18,Gaylord Opryland Resort & Convention Center,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",Nashville,TN,3,1639,Negative
13397,3,"Numbers 

Service 7.5 out of 10

Food  7.5 out of 10

Cost 6 out of 10.

This place is conveniently on canal street and it's a good fix if you want something quick, but the cost is something I would be leery of the cost. For 2 people 3 or 5 piece tender combos with biscuits and drinks run up about $35 bucks. I'm not sure if I've ever had chicken that good. Would I stop there again? I don't know, but for $35 I can eat at a decent restaurant.",20-09-17 21:35,Willie's Chicken Shack,"Chicken Shop, Restaurants, American (Traditional), Chicken Wings, Soul Food, American (New), Cajun/Creole",New Orleans,LA,3.5,214,Neutral
